timestamp,datetime,best_bid,best_ask,bid_volume,ask_volume
1755819006,2025-08-21 19:30:06,0.21557,0.21558,0.00,0.00
1755819018,2025-08-21 19:30:18,0.21559,0.21560,0.00,0.00
1755819019,2025-08-21 19:30:19,0.21559,0.21560,0.00,0.00
1755819019,2025-08-21 19:30:19,0.21559,0.21560,0.00,0.00
1755819021,2025-08-21 19:30:21,0.21556,0.21557,0.00,0.00
1755819022,2025-08-21 19:30:22,0.21556,0.21557,0.00,0.00
1755819023,2025-08-21 19:30:23,0.21556,0.21557,0.00,0.00
1755819025,2025-08-21 19:30:25,0.21556,0.21557,0.00,0.00
1755819025,2025-08-21 19:30:25,0.21551,0.21552,0.00,0.00
1755819026,2025-08-21 19:30:26,0.21551,0.21552,0.00,0.00
1755819028,2025-08-21 19:30:28,0.21551,0.21552,0.00,0.00
1755819029,2025-08-21 19:30:29,0.21551,0.21552,0.00,0.00
1755819030,2025-08-21 19:30:30,0.21551,0.21552,0.00,0.00
1755819032,2025-08-21 19:30:32,0.21552,0.21553,0.00,0.00
1755819032,2025-08-21 19:30:32,0.21552,0.21553,0.00,0.00
1755819033,2025-08-21 19:30:33,0.21552,0.21553,0.00,0.00
1755819035,2025-08-21 19:30:35,0.21552,0.21553,0.00,0.00
1755819036,2025-08-21 19:30:36,0.21552,0.21553,0.00,0.00
1755819036,2025-08-21 19:30:36,0.21552,0.21553,0.00,0.00
1755819038,2025-08-21 19:30:38,0.21549,0.21550,0.00,0.00
1755819039,2025-08-21 19:30:39,0.21549,0.21550,0.00,0.00
1755819040,2025-08-21 19:30:40,0.21549,0.21550,0.00,0.00
1755819042,2025-08-21 19:30:42,0.21545,0.21546,0.00,0.00
1755819043,2025-08-21 19:30:43,0.21545,0.21546,0.00,0.00
1755819043,2025-08-21 19:30:43,0.21545,0.21546,0.00,0.00
1755819045,2025-08-21 19:30:45,0.21540,0.21541,0.00,0.00
1755819046,2025-08-21 19:30:46,0.21540,0.21541,0.00,0.00
1755819048,2025-08-21 19:30:48,0.21540,0.21541,0.00,0.00
1755819051,2025-08-21 19:30:51,0.21535,0.21536,0.00,0.00
1755819051,2025-08-21 19:30:51,0.21535,0.21536,0.00,0.00
1755819052,2025-08-21 19:30:52,0.21535,0.21536,0.00,0.00
1755819054,2025-08-21 19:30:54,0.21535,0.21536,0.00,0.00
1755819055,2025-08-21 19:30:55,0.21532,0.21533,0.00,0.00
1755819057,2025-08-21 19:30:57,0.21531,0.21533,0.00,0.00
1755819059,2025-08-21 19:30:59,0.21531,0.21533,0.00,0.00
1755819060,2025-08-21 19:31:00,0.21531,0.21533,0.00,0.00
1755819061,2025-08-21 19:31:01,0.21531,0.21533,0.00,0.00
1755819063,2025-08-21 19:31:03,0.21531,0.21532,0.00,0.00
1755819064,2025-08-21 19:31:04,0.21531,0.21532,0.00,0.00
1755819065,2025-08-21 19:31:05,0.21531,0.21532,0.00,0.00
1755819068,2025-08-21 19:31:08,0.21526,0.21527,0.00,0.00
1755819069,2025-08-21 19:31:09,0.21521,0.21522,0.00,0.00
1755819071,2025-08-21 19:31:11,0.21521,0.21522,0.00,0.00
1755819074,2025-08-21 19:31:14,0.21521,0.21522,0.00,0.00
1755819076,2025-08-21 19:31:16,0.21521,0.21522,0.00,0.00
1755819077,2025-08-21 19:31:17,0.21521,0.21522,0.00,0.00
1755819080,2025-08-21 19:31:20,0.21521,0.21522,0.00,0.00
1755819081,2025-08-21 19:31:21,0.21520,0.21521,0.00,0.00
1755819082,2025-08-21 19:31:22,0.21520,0.21521,0.00,0.00
1755819084,2025-08-21 19:31:24,0.21520,0.21521,0.00,0.00
1755819084,2025-08-21 19:31:24,0.21520,0.21521,0.00,0.00
1755819085,2025-08-21 19:31:25,0.21520,0.21521,0.00,0.00
1755819087,2025-08-21 19:31:27,0.21511,0.21512,0.00,0.00
1755819088,2025-08-21 19:31:28,0.21515,0.21516,0.00,0.00
1755819095,2025-08-21 19:31:35,0.21522,0.21523,0.00,0.00
1755819097,2025-08-21 19:31:37,0.21522,0.21523,0.00,0.00
1755819098,2025-08-21 19:31:38,0.21513,0.21514,0.00,0.00
1755819101,2025-08-21 19:31:41,0.21513,0.21514,0.00,0.00
1755819101,2025-08-21 19:31:41,0.21513,0.21514,0.00,0.00
1755819107,2025-08-21 19:31:47,0.21504,0.21505,0.00,0.00
1755819108,2025-08-21 19:31:48,0.21504,0.21505,0.00,0.00
1755819114,2025-08-21 19:31:54,0.21508,0.21509,0.00,0.00
1755819115,2025-08-21 19:31:55,0.21508,0.21509,0.00,0.00
1755819121,2025-08-21 19:32:01,0.21514,0.21515,0.00,0.00
1755819122,2025-08-21 19:32:02,0.21514,0.21515,0.00,0.00
1755819128,2025-08-21 19:32:08,0.21512,0.21513,0.00,0.00
1755819129,2025-08-21 19:32:09,0.21512,0.21513,0.00,0.00
