timestamp,datetime,best_bid,best_ask,bid_volume,ask_volume
1755824410,2025-08-21 21:00:10,0.5078,0.5079,0.00,0.00
1755824417,2025-08-21 21:00:17,0.5075,0.5076,0.00,0.00
1755824422,2025-08-21 21:00:22,0.5072,0.5073,0.00,0.00
1755824423,2025-08-21 21:00:23,0.5072,0.5073,0.00,0.00
1755824429,2025-08-21 21:00:29,0.5074,0.5075,0.00,0.00
1755824431,2025-08-21 21:00:31,0.5074,0.5075,0.00,0.00
1755824437,2025-08-21 21:00:37,0.5074,0.5075,0.00,0.00
1755824438,2025-08-21 21:00:38,0.5074,0.5075,0.00,0.00
1755824444,2025-08-21 21:00:44,0.5075,0.5076,0.00,0.00
1755824445,2025-08-21 21:00:45,0.5077,0.5078,0.00,0.00
1755824451,2025-08-21 21:00:51,0.5077,0.5078,0.00,0.00
1755824453,2025-08-21 21:00:53,0.5077,0.5078,0.00,0.00
1755824458,2025-08-21 21:00:58,0.5079,0.5080,0.00,0.00
1755824460,2025-08-21 21:01:00,0.5079,0.5080,0.00,0.00
1755824466,2025-08-21 21:01:06,0.5078,0.5079,0.00,0.00
1755824467,2025-08-21 21:01:07,0.5078,0.5079,0.00,0.00
1755824473,2025-08-21 21:01:13,0.5078,0.5079,0.00,0.00
1755824474,2025-08-21 21:01:14,0.5078,0.5079,0.00,0.00
1755824480,2025-08-21 21:01:20,0.5081,0.5082,0.00,0.00
1755824481,2025-08-21 21:01:21,0.5081,0.5082,0.00,0.00
1755824487,2025-08-21 21:01:27,0.5083,0.5084,0.00,0.00
1755824489,2025-08-21 21:01:29,0.5083,0.5084,0.00,0.00
1755824494,2025-08-21 21:01:34,0.5084,0.5085,0.00,0.00
1755824496,2025-08-21 21:01:36,0.5084,0.5085,0.00,0.00
1755824502,2025-08-21 21:01:42,0.5085,0.5086,0.00,0.00
1755824503,2025-08-21 21:01:43,0.5086,0.5087,0.00,0.00
1755824510,2025-08-21 21:01:50,0.5086,0.5087,0.00,0.00
1755824511,2025-08-21 21:01:51,0.5086,0.5087,0.00,0.00
1755824517,2025-08-21 21:01:57,0.5086,0.5087,0.00,0.00
1755824518,2025-08-21 21:01:58,0.5086,0.5087,0.00,0.00
1755824525,2025-08-21 21:02:05,0.5086,0.5087,0.00,0.00
1755824526,2025-08-21 21:02:06,0.5086,0.5087,0.00,0.00
1755824532,2025-08-21 21:02:12,0.5082,0.5083,0.00,0.00
1755824533,2025-08-21 21:02:13,0.5082,0.5083,0.00,0.00
1755824539,2025-08-21 21:02:19,0.5081,0.5082,0.00,0.00
1755824541,2025-08-21 21:02:21,0.5081,0.5082,0.00,0.00
1755824547,2025-08-21 21:02:27,0.5080,0.5082,0.00,0.00
1755824549,2025-08-21 21:02:29,0.5080,0.5082,0.00,0.00
1755824554,2025-08-21 21:02:34,0.5082,0.5083,0.00,0.00
1755824556,2025-08-21 21:02:36,0.5082,0.5083,0.00,0.00
1755824562,2025-08-21 21:02:42,0.5082,0.5083,0.00,0.00
1755824563,2025-08-21 21:02:43,0.5082,0.5083,0.00,0.00
1755824569,2025-08-21 21:02:49,0.5083,0.5084,0.00,0.00
1755824571,2025-08-21 21:02:51,0.5082,0.5083,0.00,0.00
1755824577,2025-08-21 21:02:57,0.5082,0.5083,0.00,0.00
1755824578,2025-08-21 21:02:58,0.5082,0.5083,0.00,0.00
1755824584,2025-08-21 21:03:04,0.5082,0.5083,0.00,0.00
1755824586,2025-08-21 21:03:06,0.5082,0.5083,0.00,0.00
1755824592,2025-08-21 21:03:12,0.5082,0.5083,0.00,0.00
1755824593,2025-08-21 21:03:13,0.5084,0.5085,0.00,0.00
1755824599,2025-08-21 21:03:19,0.5085,0.5086,0.00,0.00
1755824601,2025-08-21 21:03:21,0.5085,0.5086,0.00,0.00
1755824606,2025-08-21 21:03:26,0.5088,0.5089,0.00,0.00
1755824608,2025-08-21 21:03:28,0.5088,0.5089,0.00,0.00
1755824614,2025-08-21 21:03:34,0.5086,0.5087,0.00,0.00
1755824615,2025-08-21 21:03:35,0.5086,0.5087,0.00,0.00
1755824621,2025-08-21 21:03:41,0.5085,0.5086,0.00,0.00
1755824623,2025-08-21 21:03:43,0.5085,0.5086,0.00,0.00
1755824629,2025-08-21 21:03:49,0.5085,0.5086,0.00,0.00
1755824630,2025-08-21 21:03:50,0.5085,0.5086,0.00,0.00
1755824636,2025-08-21 21:03:56,0.5084,0.5085,0.00,0.00
1755824638,2025-08-21 21:03:58,0.5084,0.5085,0.00,0.00
1755824643,2025-08-21 21:04:03,0.5083,0.5084,0.00,0.00
1755824645,2025-08-21 21:04:05,0.5083,0.5084,0.00,0.00
1755824651,2025-08-21 21:04:11,0.5082,0.5083,0.00,0.00
1755824652,2025-08-21 21:04:12,0.5082,0.5083,0.00,0.00
1755824658,2025-08-21 21:04:18,0.5083,0.5084,0.00,0.00
1755824660,2025-08-21 21:04:20,0.5082,0.5083,0.00,0.00
1755824665,2025-08-21 21:04:25,0.5081,0.5082,0.00,0.00
1755824667,2025-08-21 21:04:27,0.5081,0.5082,0.00,0.00
1755824673,2025-08-21 21:04:33,0.5080,0.5081,0.00,0.00
1755824674,2025-08-21 21:04:34,0.5080,0.5081,0.00,0.00
1755824681,2025-08-21 21:04:41,0.5080,0.5081,0.00,0.00
1755824682,2025-08-21 21:04:42,0.5079,0.5080,0.00,0.00
1755824688,2025-08-21 21:04:48,0.5080,0.5081,0.00,0.00
1755824689,2025-08-21 21:04:49,0.5080,0.5081,0.00,0.00
1755824695,2025-08-21 21:04:55,0.5079,0.5080,0.00,0.00
1755824697,2025-08-21 21:04:57,0.5079,0.5080,0.00,0.00
1755824703,2025-08-21 21:05:03,0.5079,0.5080,0.00,0.00
1755824704,2025-08-21 21:05:04,0.5079,0.5080,0.00,0.00
1755824710,2025-08-21 21:05:10,0.5077,0.5078,0.00,0.00
1755824712,2025-08-21 21:05:12,0.5077,0.5078,0.00,0.00
1755824718,2025-08-21 21:05:18,0.5076,0.5077,0.00,0.00
1755824719,2025-08-21 21:05:19,0.5076,0.5077,0.00,0.00
1755824725,2025-08-21 21:05:25,0.5076,0.5077,0.00,0.00
1755824727,2025-08-21 21:05:27,0.5076,0.5077,0.00,0.00
1755824733,2025-08-21 21:05:33,0.5076,0.5077,0.00,0.00
1755824734,2025-08-21 21:05:34,0.5076,0.5077,0.00,0.00
1755824740,2025-08-21 21:05:40,0.5075,0.5076,0.00,0.00
1755824742,2025-08-21 21:05:42,0.5073,0.5074,0.00,0.00
1755824748,2025-08-21 21:05:48,0.5073,0.5074,0.00,0.00
1755824749,2025-08-21 21:05:49,0.5073,0.5074,0.00,0.00
1755824755,2025-08-21 21:05:55,0.5070,0.5071,0.00,0.00
1755824756,2025-08-21 21:05:56,0.5071,0.5072,0.00,0.00
1755824762,2025-08-21 21:06:02,0.5070,0.5072,0.00,0.00
1755824764,2025-08-21 21:06:04,0.5070,0.5072,0.00,0.00
1755824770,2025-08-21 21:06:10,0.5073,0.5074,0.00,0.00
1755824771,2025-08-21 21:06:11,0.5073,0.5074,0.00,0.00
1755824777,2025-08-21 21:06:17,0.5074,0.5075,0.00,0.00
1755824779,2025-08-21 21:06:19,0.5074,0.5075,0.00,0.00
1755824785,2025-08-21 21:06:25,0.5070,0.5071,0.00,0.00
1755824786,2025-08-21 21:06:26,0.5070,0.5071,0.00,0.00
1755824792,2025-08-21 21:06:32,0.5069,0.5071,0.00,0.00
1755824793,2025-08-21 21:06:33,0.5069,0.5071,0.00,0.00
1755824800,2025-08-21 21:06:40,0.5070,0.5071,0.00,0.00
1755824801,2025-08-21 21:06:41,0.5067,0.5068,0.00,0.00
1755824807,2025-08-21 21:06:47,0.5066,0.5067,0.00,0.00
1755824809,2025-08-21 21:06:49,0.5066,0.5067,0.00,0.00
1755824814,2025-08-21 21:06:54,0.5066,0.5067,0.00,0.00
1755824816,2025-08-21 21:06:56,0.5066,0.5067,0.00,0.00
1755824822,2025-08-21 21:07:02,0.5066,0.5067,0.00,0.00
1755824823,2025-08-21 21:07:03,0.5066,0.5067,0.00,0.00
1755824829,2025-08-21 21:07:09,0.5066,0.5067,0.00,0.00
1755824831,2025-08-21 21:07:11,0.5066,0.5067,0.00,0.00
1755824837,2025-08-21 21:07:17,0.5066,0.5067,0.00,0.00
1755824838,2025-08-21 21:07:18,0.5066,0.5067,0.00,0.00
1755824844,2025-08-21 21:07:24,0.5065,0.5066,0.00,0.00
1755824845,2025-08-21 21:07:25,0.5063,0.5064,0.00,0.00
1755824850,2025-08-21 21:07:30,0.5058,0.5060,0.00,0.00
1755825316,2025-08-21 21:15:16,0.5050,0.5051,0.00,0.00
1755825323,2025-08-21 21:15:23,0.5056,0.5057,0.00,0.00
1755825327,2025-08-21 21:15:27,0.5058,0.5059,0.00,0.00
1755826206,2025-08-21 21:30:06,0.5077,0.5078,0.00,0.00
1755826212,2025-08-21 21:30:12,0.5078,0.5079,0.00,0.00
1755826217,2025-08-21 21:30:17,0.5079,0.5080,0.00,0.00
1755826218,2025-08-21 21:30:18,0.5079,0.5080,0.00,0.00
1755826223,2025-08-21 21:30:23,0.5079,0.5080,0.00,0.00
1755826224,2025-08-21 21:30:24,0.5079,0.5080,0.00,0.00
1755826229,2025-08-21 21:30:29,0.5076,0.5077,0.00,0.00
1755826230,2025-08-21 21:30:30,0.5076,0.5077,0.00,0.00
1755826235,2025-08-21 21:30:35,0.5075,0.5076,0.00,0.00
1755826236,2025-08-21 21:30:36,0.5075,0.5076,0.00,0.00
1755826241,2025-08-21 21:30:41,0.5075,0.5076,0.00,0.00
1755826242,2025-08-21 21:30:42,0.5075,0.5076,0.00,0.00
1755826247,2025-08-21 21:30:47,0.5075,0.5076,0.00,0.00
1755826249,2025-08-21 21:30:49,0.5073,0.5074,0.00,0.00
1755826254,2025-08-21 21:30:54,0.5073,0.5074,0.00,0.00
1755826255,2025-08-21 21:30:55,0.5071,0.5072,0.00,0.00
1755826260,2025-08-21 21:31:00,0.5071,0.5072,0.00,0.00
1755826261,2025-08-21 21:31:01,0.5072,0.5073,0.00,0.00
1755826266,2025-08-21 21:31:06,0.5072,0.5073,0.00,0.00
1755826267,2025-08-21 21:31:07,0.5070,0.5071,0.00,0.00
1755826272,2025-08-21 21:31:12,0.5070,0.5071,0.00,0.00
1755826273,2025-08-21 21:31:13,0.5071,0.5072,0.00,0.00
1755826278,2025-08-21 21:31:18,0.5071,0.5072,0.00,0.00
1755826279,2025-08-21 21:31:19,0.5071,0.5072,0.00,0.00
1755826284,2025-08-21 21:31:24,0.5071,0.5072,0.00,0.00
1755826285,2025-08-21 21:31:25,0.5071,0.5072,0.00,0.00
1755826291,2025-08-21 21:31:31,0.5071,0.5072,0.00,0.00
1755826292,2025-08-21 21:31:32,0.5070,0.5071,0.00,0.00
1755826297,2025-08-21 21:31:37,0.5073,0.5074,0.00,0.00
1755826298,2025-08-21 21:31:38,0.5073,0.5074,0.00,0.00
1755826303,2025-08-21 21:31:43,0.5071,0.5072,0.00,0.00
1755826304,2025-08-21 21:31:44,0.5071,0.5072,0.00,0.00
1755826309,2025-08-21 21:31:49,0.5071,0.5072,0.00,0.00
