Timestamp,DateTime,Open,High,Low,Close,Volume
1754037000000,2025-08-01 04:30:00,0.2028,0.20477,0.20176,0.20437,139484.0
1754037900000,2025-08-01 04:45:00,0.20437,0.20531,0.20399,0.20399,147635.0
1754038800000,2025-08-01 05:00:00,0.20399,0.20611,0.20368,0.20479,280074.0
1754039700000,2025-08-01 05:15:00,0.20479,0.20603,0.2046,0.20581,93138.0
1754040600000,2025-08-01 05:30:00,0.20581,0.20605,0.20497,0.20561,56290.0
1754041500000,2025-08-01 05:45:00,0.20561,0.20561,0.20405,0.20421,139495.0
1754042400000,2025-08-01 06:00:00,0.20421,0.20544,0.20408,0.20543,63425.0
1754043300000,2025-08-01 06:15:00,0.20543,0.20582,0.20485,0.20536,84915.0
1754044200000,2025-08-01 06:30:00,0.20536,0.2061,0.20505,0.20584,74443.0
1754045100000,2025-08-01 06:45:00,0.20584,0.20618,0.20521,0.2057,65843.0
1754046000000,2025-08-01 07:00:00,0.2057,0.20583,0.20496,0.20581,87195.0
1754046900000,2025-08-01 07:15:00,0.20581,0.20618,0.20503,0.20545,51617.0
1754047800000,2025-08-01 07:30:00,0.20545,0.2064,0.20518,0.20614,67950.0
1754048700000,2025-08-01 07:45:00,0.20614,0.20745,0.2061,0.20742,140184.0
1754049600000,2025-08-01 08:00:00,0.20742,0.20894,0.207,0.20811,249555.0
1754050500000,2025-08-01 08:15:00,0.20811,0.20811,0.20672,0.20726,251507.0
1754051400000,2025-08-01 08:30:00,0.20726,0.20952,0.2064,0.20862,266617.0
1754052300000,2025-08-01 08:45:00,0.20862,0.20862,0.20702,0.20739,85459.0
1754053200000,2025-08-01 09:00:00,0.20739,0.20859,0.20724,0.208,202828.0
1754054100000,2025-08-01 09:15:00,0.208,0.20862,0.20697,0.20725,272493.0
1754055000000,2025-08-01 09:30:00,0.20725,0.20782,0.20534,0.20534,132696.0
1754055900000,2025-08-01 09:45:00,0.20534,0.20559,0.20246,0.20388,297354.0
1754056800000,2025-08-01 10:00:00,0.20388,0.20665,0.20186,0.20608,427011.0
1754057700000,2025-08-01 10:15:00,0.20608,0.20971,0.2058,0.20933,210909.0
1754058600000,2025-08-01 10:30:00,0.20933,0.2102,0.20834,0.20853,288506.0
1754059500000,2025-08-01 10:45:00,0.20853,0.21009,0.20853,0.20957,138656.0
1754060400000,2025-08-01 11:00:00,0.20957,0.20988,0.20746,0.20808,272882.0
1754061300000,2025-08-01 11:15:00,0.20808,0.20835,0.20617,0.20727,222414.0
1754062200000,2025-08-01 11:30:00,0.20727,0.20956,0.20727,0.20922,79197.0
